Booking_ID,adults,children,stays_in_weekend_nights,stays_in_week_nights,meal,required_car_parking_spaces,reserved_room_type,lead_time,arrival_date_year,arrival_date_month,arrival_date_day_of_month,market_segment,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,adr,total_of_special_requests,is_canceled
INN00071,2,0,0,3,BB,0,A,143,2018,August,25,Offline TA/TO,0,0,0,100.0,0,0
INN00073,2,0,1,1,BB,1,A,30,2018,August,29,Online TA,0,0,0,122.85,1,0
INN00090,2,0,0,3,BB,0,B,146,2018,August,9,Offline TA/TO,0,0,0,113.56,0,0
INN00095,2,0,2,5,BB,0,A,171,2018,August,30,Online TA,0,0,0,111.59,0,1
INN00096,2,1,0,2,BB,1,A,134,2018,August,4,Online TA,0,0,0,130.5,2,0
INN00097,2,0,0,2,HB,0,A,320,2018,August,18,Online TA,0,0,0,115.0,1,1
INN00116,3,0,2,2,BB,1,D,123,2018,August,13,Online TA,0,0,0,155.7,1,0
INN00164,2,0,1,1,SC,0,A,197,2018,August,1,Online TA,0,0,0,85.5,1,0
INN00177,2,0,1,4,SC,0,A,14,2018,August,17,Online TA,0,0,0,91.43,1,0
INN00185,2,0,1,5,BB,0,A,196,2018,August,22,Online TA,0,0,0,99.45,0,1
INN00187,2,0,1,3,BB,0,A,189,2018,August,8,Offline TA/TO,0,0,0,72.25,0,0
INN00188,2,0,1,4,BB,0,D,126,2018,August,15,Online TA,0,0,0,126.0,0,0
INN00189,2,0,2,3,BB,0,A,303,2018,August,19,Online TA,0,0,0,78.0,0,1
INN00195,2,0,4,10,BB,0,D,147,2018,August,3,Online TA,0,0,0,118.88,1,1
INN00201,2,0,1,4,SC,0,A,156,2018,August,24,Online TA,0,0,0,87.3,1,0
INN00208,2,0,2,3,BB,0,A,34,2018,August,21,Offline TA/TO,0,0,0,85.0,0,0
INN00214,3,0,2,1,BB,0,A,195,2018,August,13,Online TA,0,0,0,106.03,1,1
INN00215,2,0,2,2,BB,0,A,119,2018,August,13,Online TA,0,0,0,114.3,1,0
INN00249,2,0,1,2,BB,0,A,21,2018,August,15,Online TA,0,0,0,151.0,0,1
INN00251,3,0,2,1,BB,0,D,152,2018,August,13,Online TA,0,0,0,146.7,1,1
INN00272,2,0,2,4,BB,0,A,28,2018,August,28,Online TA,0,0,0,115.37,1,1
INN00286,2,0,0,2,SC,1,A,1,2018,August,10,Online TA,0,0,0,167.0,0,0
INN00292,2,0,1,1,BB,0,A,7,2018,August,22,Online TA,0,0,0,140.0,1,1
INN00298,2,0,2,2,BB,0,A,174,2018,August,13,Online TA,0,0,0,99.45,1,0
INN00310,2,0,1,3,BB,0,A,37,2018,August,1,Online TA,0,0,0,135.9,0,1
INN00320,2,0,0,2,HB,0,A,320,2018,August,18,Online TA,0,0,0,115.0,1,1
INN00327,3,0,2,1,BB,0,D,84,2018,August,28,Online TA,0,0,0,159.3,0,1
INN00339,2,0,0,3,BB,0,D,143,2018,August,18,Online TA,0,0,0,140.7,0,1
INN00347,1,0,0,2,BB,0,A,5,2018,August,24,Complementary,1,0,4,0.0,4,0
INN00350,3,0,1,1,BB,0,D,89,2018,August,15,Online TA,0,0,0,150.3,1,0
INN00369,2,0,2,3,HB,0,A,39,2018,August,13,Online TA,0,0,0,170.1,2,0
INN00401,2,0,0,1,BB,0,A,221,2018,August,12,Online TA,0,0,0,80.0,0,1
INN00409,3,0,0,3,BB,0,D,85,2018,August,3,Online TA,0,0,0,152.1,0,1
INN00410,2,0,0,1,BB,0,A,167,2018,August,6,Online TA,0,0,0,105.3,0,1
INN00426,1,0,0,1,BB,0,A,1,2018,August,4,Online TA,0,0,0,115.0,0,0
INN00440,2,0,2,1,SC,0,A,166,2018,August,6,Online TA,0,0,0,94.5,1,0
INN00441,2,0,1,4,BB,0,A,148,2018,August,22,Online TA,0,0,0,96.3,0,1
INN00442,2,0,2,1,BB,0,A,136,2018,August,13,Online TA,0,0,0,88.01,1,0
INN00464,2,0,2,6,BB,0,A,166,2018,August,18,Online TA,0,0,0,100.12,0,1
INN00479,2,0,0,3,BB,0,A,143,2018,August,25,Offline TA/TO,0,0,0,100.0,0,0
INN00506,3,0,0,4,BB,0,D,42,2018,August,30,Online TA,0,0,0,142.2,2,0
INN00511,1,0,0,3,BB,0,A,143,2018,August,25,Offline TA/TO,0,0,0,90.0,0,0
INN00516,2,0,0,4,BB,0,A,2,2018,August,3,Offline TA/TO,0,0,0,109.0,0,0
INN00537,2,1,0,2,BB,0,F,330,2018,August,31,Online TA,0,0,0,172.8,0,1
INN00538,2,0,1,3,SC,0,A,3,2018,August,22,Online TA,0,0,0,98.56,1,0
INN00549,2,1,1,0,BB,0,A,137,2018,August,21,Online TA,0,0,0,121.5,2,0
INN00563,3,0,2,5,BB,0,D,184,2018,August,3,Online TA,0,0,0,130.05,3,0
INN00583,2,0,1,3,BB,0,A,114,2018,August,22,Offline TA/TO,0,0,0,72.25,0,0
INN00594,2,0,2,5,BB,0,D,46,2018,August,28,Online TA,0,0,0,124.46,0,0
INN00614,3,0,1,2,BB,0,A,191,2018,August,1,Offline TA/TO,0,0,0,96.9,0,0
INN00634,2,0,0,2,BB,1,D,107,2018,August,25,Online TA,0,0,0,142.2,0,0
INN00639,3,0,0,4,BB,0,D,137,2018,August,24,Online TA,0,0,0,130.95,0,1
INN00643,2,0,2,1,BB,0,A,56,2018,August,28,Online TA,0,0,0,109.8,0,1
INN00654,0,2,1,2,BB,0,E,78,2018,August,19,Online TA,0,0,0,115.68,1,0
INN00658,4,0,0,2,BB,0,G,32,2018,August,17,Online TA,0,0,0,214.75,1,0
INN00665,2,1,1,1,BB,1,A,27,2018,August,8,Online TA,0,0,0,195.5,2,0
INN00701,2,0,1,2,BB,0,D,177,2018,August,12,Online TA,0,0,0,127.8,1,1
INN00711,2,0,0,4,BB,0,A,256,2018,August,31,Online TA,0,0,0,90.95,0,1
INN00725,2,0,0,2,HB,0,A,320,2018,August,18,Online TA,0,0,0,115.0,1,1
INN00729,2,0,1,0,BB,1,D,123,2018,August,21,Online TA,0,0,0,146.7,0,0
INN00733,2,2,4,10,BB,0,F,222,2018,August,14,Online TA,0,0,0,158.95,0,1
INN00746,3,0,1,2,BB,0,D,25,2018,August,15,Online TA,0,0,0,187.0,1,1
INN00773,2,1,3,9,BB,0,A,155,2018,August,1,Online TA,0,0,0,119.71,1,1
INN00776,2,0,1,3,BB,0,A,59,2018,August,29,Online TA,0,0,0,109.8,1,0
INN00787,2,0,3,5,BB,1,A,122,2018,August,21,Offline TA/TO,0,0,0,81.26,2,0
INN00799,2,0,0,4,BB,0,A,200,2018,August,31,Online TA,0,0,0,105.4,1,1
INN00830,2,0,2,1,SC,1,A,156,2018,August,21,Online TA,0,0,0,103.5,0,1
INN00837,3,0,0,3,BB,0,D,46,2018,August,24,Online TA,0,0,0,168.3,2,0
INN00850,2,0,1,2,HB,0,A,194,2018,August,22,Online TA,0,0,0,102.25,1,1
INN00910,1,0,0,1,HB,0,A,221,2018,August,12,Offline TA/TO,0,0,0,73.0,0,0
INN00925,2,0,1,3,BB,0,D,182,2018,August,15,Online TA,0,0,0,112.2,1,1
INN00947,3,0,0,1,BB,0,D,0,2018,August,20,Online TA,0,0,0,168.3,2,0
INN00956,2,0,0,1,BB,0,D,23,2018,August,3,Online TA,0,0,0,166.0,1,0
INN00960,2,0,0,1,BB,0,A,5,2018,August,20,Online TA,0,0,0,130.0,1,0
INN00984,2,0,2,5,BB,0,A,38,2018,August,4,Offline TA/TO,0,0,0,85.0,0,0
INN01009,2,0,0,2,SC,0,A,1,2018,August,24,Online TA,0,0,0,99.33,1,0
INN01015,2,0,0,4,BB,0,E,232,2018,August,17,Online TA,0,0,0,81.82,1,1
INN01017,2,0,2,3,BB,0,A,23,2018,August,28,Online TA,0,0,0,123.8,0,1
INN01022,2,0,0,5,BB,0,A,150,2018,August,30,Online TA,0,0,0,114.66,1,0
INN01030,2,0,0,4,BB,0,A,244,2018,August,2,Online TA,0,0,0,90.95,0,1
INN01053,2,1,2,0,SC,0,A,91,2018,August,21,Online TA,0,0,0,107.1,1,0
INN01055,2,0,0,5,SC,0,A,128,2018,August,9,Online TA,0,0,0,103.5,0,1
INN01066,2,0,1,0,BB,0,A,24,2018,August,15,Complementary,0,0,0,0.0,0,0
INN01067,2,0,0,2,BB,0,A,57,2018,August,10,Online TA,0,0,0,135.9,1,0
INN01078,2,0,1,5,BB,0,A,9,2018,August,16,Online TA,0,0,0,142.0,0,1
INN01083,2,0,2,3,BB,0,E,142,2018,August,21,Online TA,0,0,0,95.79,1,0
INN01119,2,0,1,2,BB,0,D,133,2018,August,15,Online TA,0,0,0,113.6,0,1
INN01179,2,0,0,2,BB,0,A,36,2018,August,10,Online TA,0,0,0,135.9,1,1
INN01193,2,0,2,1,SC,0,A,130,2018,August,27,Online TA,0,0,0,85.5,2,0
INN01214,2,0,0,2,BB,0,A,216,2018,August,30,Online TA,0,0,0,96.3,1,1
INN01253,1,0,0,1,BB,0,A,6,2018,August,17,Corporate,0,0,0,79.0,0,0
INN01255,1,0,0,2,BB,0,A,154,2018,August,24,Online TA,0,0,0,100.8,0,1
INN01266,2,0,1,3,BB,0,A,124,2018,August,1,Online TA,0,0,0,105.3,1,0
INN01267,2,1,1,3,BB,0,D,85,2018,August,29,Online TA,0,0,0,143.1,0,0
INN01270,1,0,0,1,BB,0,A,2,2018,August,2,Online TA,0,0,0,102.7,0,0
INN01283,1,0,1,1,BB,1,A,1,2018,August,1,Online TA,0,0,0,124.0,1,0
INN01299,2,0,2,0,BB,0,A,91,2018,August,21,Online TA,0,0,0,126.9,0,0
INN01316,2,0,2,5,BB,0,A,248,2018,August,14,Online TA,0,0,0,90.95,1,0
INN01318,2,0,1,3,BB,0,A,21,2018,August,29,Online TA,0,0,0,124.25,3,0
INN01335,1,0,0,1,BB,0,A,14,2018,August,31,Online TA,0,0,0,124.0,1,0
INN01386,2,0,0,1,BB,0,A,221,2018,August,12,Online TA,0,0,0,80.0,0,1
INN01406,2,0,0,1,BB,0,D,34,2018,August,10,Online TA,0,0,0,149.4,0,1
INN01412,2,1,1,2,HB,0,A,33,2018,August,15,Online TA,0,0,0,127.05,0,1
INN01423,2,2,0,1,HB,0,F,44,2018,August,10,Online TA,0,0,0,259.2,1,0
INN01439,2,0,2,2,SC,0,A,12,2018,August,14,Online TA,0,0,0,131.5,3,0
INN01444,2,0,2,1,BB,0,A,37,2018,August,21,Online TA,0,0,0,135.9,0,0
INN01470,2,1,1,2,HB,0,A,34,2018,August,8,Online TA,0,0,0,194.85,1,1
INN01475,2,0,0,3,BB,0,A,159,2018,August,2,Offline TA/TO,0,0,0,82.44,1,0
INN01479,2,0,2,0,BB,0,A,36,2018,August,14,Online TA,0,0,0,135.9,1,0
INN01489,2,0,2,5,BB,0,D,97,2018,August,4,Offline TA/TO,0,0,0,82.45,0,0
INN01518,2,0,0,2,SC,1,A,90,2018,August,10,Offline TA/TO,0,0,0,91.8,0,0
INN01523,2,0,1,4,BB,0,A,14,2018,August,17,Online TA,0,0,0,104.17,0,0
INN01531,2,1,0,1,BB,0,A,221,2018,August,31,Online TA,0,0,0,112.5,0,1
INN01560,1,0,0,1,HB,0,A,0,2018,August,25,Offline TA/TO,0,0,0,90.0,0,0
INN01587,1,0,0,2,BB,0,A,136,2018,August,26,Online TA,0,0,0,90.9,0,0
INN01622,2,0,0,1,HB,0,A,126,2018,August,3,Online TA,0,0,0,139.5,0,1
INN01623,2,0,0,1,BB,0,A,5,2018,August,20,Online TA,0,0,0,130.0,1,0
INN01638,2,0,0,2,HB,0,A,320,2018,August,18,Online TA,0,0,0,115.0,1,1
INN01645,2,0,1,0,SC,0,A,207,2018,August,8,Offline TA/TO,0,0,0,63.75,0,0
INN01652,2,0,2,1,BB,0,D,5,2018,August,21,Online TA,0,0,0,119.35,1,0
INN01654,2,0,1,4,BB,0,A,212,2018,August,22,Online TA,0,0,0,90.95,0,1
INN01658,2,0,1,2,BB,0,A,26,2018,August,15,Offline TA/TO,0,0,0,85.0,0,0
INN01672,3,0,2,1,BB,0,D,69,2018,August,27,Online TA,0,0,0,162.3,1,1
INN01673,3,0,2,2,BB,0,D,44,2018,August,14,Online TA,0,0,0,168.3,2,0
INN01682,2,0,1,3,BB,0,A,178,2018,August,15,Online TA,0,0,0,99.45,2,0
INN01698,3,0,1,0,BB,0,B,0,2018,August,8,Corporate,0,0,0,188.0,0,0
INN01719,1,2,0,2,SC,1,A,12,2018,August,16,Online TA,0,0,0,150.5,1,0
INN01721,2,0,0,4,SC,0,A,31,2018,August,10,Online TA,0,0,0,141.55,1,0
INN01748,2,0,1,1,BB,0,A,219,2018,August,15,Online TA,0,0,0,96.3,0,1
INN01749,2,0,2,4,SC,0,A,217,2018,August,7,Online TA,0,0,0,80.75,1,0
INN01770,3,0,0,4,BB,0,D,180,2018,August,10,Online TA,0,0,0,130.05,1,1
INN01775,2,0,2,3,BB,0,A,303,2018,August,19,Online TA,0,0,0,78.0,0,1
INN01792,2,0,1,1,BB,0,D,40,2018,August,13,Online TA,0,0,0,149.4,1,0
INN01797,3,0,1,1,BB,0,A,221,2018,August,22,Offline TA/TO,0,0,0,96.9,1,0
INN01852,3,0,1,4,BB,0,D,176,2018,August,1,Online TA,0,0,0,130.05,2,1
INN01864,2,0,1,4,BB,0,A,183,2018,August,3,Online TA,0,0,0,112.0,1,1
INN01865,2,0,2,3,BB,0,A,210,2018,August,7,Online TA,0,0,0,90.95,1,0
INN01877,2,0,0,2,BB,0,A,217,2018,August,10,Online TA,0,0,0,96.3,0,1
INN01897,2,0,0,4,BB,0,A,223,2018,August,30,Online TA,0,0,0,90.95,2,1
INN01907,2,0,0,2,SC,0,A,117,2018,August,12,Online TA,0,0,0,112.5,1,0
INN01943,2,0,0,2,BB,0,A,63,2018,August,9,Online TA,0,0,0,144.9,2,0
INN01964,2,0,1,2,BB,0,A,167,2018,August,26,Online TA,0,0,0,90.9,0,1
INN01967,2,0,1,4,BB,0,D,5,2018,August,22,Online TA,0,0,0,155.0,2,0
INN01992,2,0,2,2,BB,0,A,231,2018,August,28,Online TA,0,0,0,90.95,0,1
INN02007,3,0,2,4,BB,0,D,139,2018,August,19,Online TA,0,0,0,139.2,1,0
INN02010,1,0,0,2,HB,0,A,320,2018,August,18,Offline TA/TO,0,0,0,90.0,0,0
INN02025,1,0,0,3,SC,0,A,25,2018,August,2,Online TA,0,0,0,139.0,1,1
INN02033,2,0,0,2,HB,0,A,320,2018,August,18,Online TA,0,0,0,115.0,1,1
INN02042,2,1,2,5,HB,0,A,156,2018,August,13,Online TA,0,0,0,171.96,2,1
